WinnerNum,FirstName,LastName,Age,Gender,Race,BirthYear,State,Year
1,Kelly,Clarkson,19,female,white,1982,TEXAS,2001
2,Ruben,Studdard,24,male,black,1978,ALABAMA,2002
3,Fantasia,Barrino,19,female,black,1984,NORTH CAROLINA,2003
4,Carrie,Underwood,21,female,white,1983,OKLAHOMA,2005
5,Taylor,Hicks,29,male,white,1976,ALABAMA,2006
6,Jordin,Sparks,16,female,black,1989,ARIZONA,2007
7,David,Cook,25,male,white,1982,OKLAHOMA,2008
8,Kris,Allen,23,male,white,1985,ARKANSAS,2009
9,Lee,DeWyze,23,male,white,1986,ILLINOIS,2010
10,Scott,McCreery,16,male,white,1993,NORTH CAROLINA,2011
11,Phillip,Phillips,20,male,white,1990,GEORGIA,2012
12,Candice,Glover,22,female,black,1989,SOUTH CAROLINA,2013
13,Caleb,Johnson,22,male,white,1991,NORTH CAROLINA,2014
14,Nick,Fradiani,29,male,white,1986,CONNECTICUT,2015
15,Trent,Harmon,26,male,white,1990,ARKANSAS,2016
16,Maddie,Poppe,19,female,white,1997,IOWA,2018
17,Lain,Hardy,18,male,white,2000,LOUISIANA,2019
18,Just,Sam,21,female,black,1998,NEW YORK,2020
19,Chayce,Beckham,24,male,white,1997,CALIFORNIA,2021
